abate;abates;is abateing:V
ossify;ossifys;is ossifying:V
ought;oughts;is oughtting:V
outbid;outbids;is outbidding:V
outbulge;outbulges;is outbulgeing:V
outcross;outcrosss;is outcrossing:V
outdo;outdos;is outdoing:V
outfit;outfits;is outfitting:V
outgas;outgass;is outgasing:V
outgeneral;outgenerals;is outgeneralling:V
outgrew;outgrews;is outgrewing:V
outgrown;outgrowns;is outgrownning:V
outgrow;outgrows;is outgrowing:V
outlaid;outlaids;is outlaidding:V
outleap;outleaps;is outleaping:V
outman;outmans;is outmanning:V
outpour;outpours;is outpouring:V
outrang;outrangs;is outranging:V
outran;outrans;is outranning:V
outreach;outreachs;is outreaching:V
outridden;outriddens;is outriddenning:V
outride;outrides;is outrideing:V
outrode;outrodes;is outrodeing:V
outrung;outrungs;is outrunging:V
outrun;outruns;is outrunning:V
outsang;outsangs;is outsanging:V
outsell;outsells;is outsellling:V
outshine;outshines;is outshineing:V
outshone;outshones;is outshoneing:V
outspan;outspans;is outspanning:V
outspeak;outspeaks;is outspeaking:V
outspoke;outspokes;is outspokeing:V
outspread;outspreads;is outspreadding:V
outstand;outstands;is outstandding:V
outstood;outstoods;is outstoodding:V
outstrip;outstrips;is outstriping:V
outsung;outsungs;is outsunging:V
outswam;outswams;is outswamming:V
outswim;outswims;is outswimming:V
outswum;outswums;is outswumming:V
outthink;outthinks;is outthinking:V
outtrade;outtrades;is outtradeing:V
outwear;outwears;is outwearing:V
outwent;outwents;is outwentting:V
outwit;outwits;is outwitting:V
outwork;outworks;is outworking:V
outworn;outworns;is outwornning:V
overaccelerate;overaccelerates;is overaccelerateing:V
overaccumulate;overaccumulates;is overaccumulateing:V
overact;overacts;is overactting:V
overadvance;overadvances;is overadvanceing:V
overaffirm;overaffirms;is overaffirmming:V
overanalyze;overanalyzes;is overanalyzeing:V
overannotate;overannotates;is overannotateing:V
overapplaud;overapplauds;is overapplaudding:V
overargue;overargues;is overargueing:V
overate;overates;is overateing:V
overbake;overbakes;is overbakeing:V
overbalance;overbalances;is overbalanceing:V
overbbore;overbbores;is overbboreing:V
overbborne;overbbornes;is overbborneing:V
overbear;overbears;is overbearing:V
overbet;overbets;is overbetting:V
overbid;overbids;is overbidding:V
overbleach;overbleachs;is overbleaching:V
overblow;overblows;is overblowing:V
overborrow;overborrows;is overborrowing:V
overbought;overboughts;is overboughtting:V
overbrag;overbrags;is overbraging:V
overbroaden;overbroadens;is overbroadenning:V
overbroil;overbroils;is overbroilling:V
overbrown;overbrowns;is overbrownning:V
overbuild;overbuilds;is overbuildding:V
overburden;overburdens;is overburdenning:V
overcall;overcalls;is overcallling:V
overcame;overcames;is overcameing:V
overcast;overcasts;is overcastting:V
overcentralize;overcentralizes;is overcentralizeing:V
overchafe;overchafes;is overchafeing:V
overcharge;overcharges;is overchargeing:V
overchase;overchases;is overchaseing:V
overchill;overchills;is overchillling:V
overcivilize;overcivilizes;is overcivilizeing:V
overcloud;overclouds;is overcloudding:V
overcolor;overcolors;is overcoloring:V
overcome;overcomes;is overcomeing:V
overcommend;overcommends;is overcommendding:V
overcompensate;overcompensates;is overcompensateing:V
overconcentrate;overconcentrates;is overconcentrateing:V
overcondense;overcondenses;is overcondenseing:V
overconsume;overconsumes;is overconsumeing:V
overcontribute;overcontributes;is overcontributeing:V
overcorrect;overcorrects;is overcorrectting:V
overcorrupt;overcorrupts;is overcorruptting:V
overcredit;overcredits;is overcreditting:V
overcriticize;overcriticizes;is overcriticizeing:V
overcrop;overcrops;is overcroping:V
overcumber;overcumbers;is overcumbering:V
overdazzle;overdazzles;is overdazzleing:V
overdeal;overdeals;is overdealling:V
overdebate;overdebates;is overdebateing:V
overdecorate;overdecorates;is overdecorateing:V
overdeliberate;overdeliberates;is overdeliberateing:V
overdemand;overdemands;is overdemandding:V
overdid;overdids;is overdidding:V
overdiffuse;overdiffuses;is overdiffuseing:V
overdigest;overdigests;is overdigestting:V
overdilate;overdilates;is overdilateing:V
overdilute;overdilutes;is overdiluteing:V
overdiscipline;overdisciplines;is overdisciplineing:V
overdistend;overdistends;is overdistendding:V
overdiversify;overdiversifys;is overdiversifying:V
overdone;overdones;is overdoneing:V
overdose;overdoses;is overdoseing:V
overdo;overdos;is overdoing:V
overdrain;overdrains;is overdrainning:V
overdramatize;overdramatizes;is overdramatizeing:V
overdraw;overdraws;is overdrawing:V
overdress;overdresss;is overdressing:V
overdriven;overdrivens;is overdrivenning:V
overdrove;overdroves;is overdroveing:V
overeaten;overeatens;is overeatenning:V
overeate;overeates;is overeateing:V
overedit;overedits;is overeditting:V
overestimate;overestimates;is overestimateing:V
overexaggerate;overexaggerates;is overexaggerateing:V
overexpand;overexpands;is overexpandding:V
overexpect;overexpects;is overexpectting:V
overexpend;overexpends;is overexpendding:V
overexplain;overexplains;is overexplainning:V
overextend;overextends;is overextendding:V
overfag;overfags;is overfaging:V
overfatigue;overfatigues;is overfatigueing:V
overfeast;overfeasts;is overfeastting:V
overfeel;overfeels;is overfeelling:V
overfeminize;overfeminizes;is overfeminizeing:V
overfix;overfixs;is overfixing:V
overflavor;overflavors;is overflavoring:V
overflew;overflews;is overflewing:V
overflood;overfloods;is overfloodding:V
overflour;overflours;is overflouring:V
overflown;overflowns;is overflownning:V
overflow;overflows;is overflowing:V
overfly;overflys;is overflying:V
overfondle;overfondles;is overfondleing:V
overforce;overforces;is overforceing:V
overformalize;overformalizes;is overformalizeing:V
overfrighten;overfrightens;is overfrightenning:V
overgesticulate;overgesticulates;is overgesticulateing:V
overgrew;overgrews;is overgrewing:V
overgrown;overgrowns;is overgrownning:V
overgrow;overgrows;is overgrowing:V
overhand;overhands;is overhandding:V
overhang;overhangs;is overhanging:V
overhasten;overhastens;is overhastenning:V
overhaul;overhauls;is overhaulling:V
overhear;overhears;is overhearing:V
overheat;overheats;is overheatting:V
overhumanize;overhumanizes;is overhumanizeing:V
overhung;overhungs;is overhunging:V
overhurry;overhurrys;is overhurrying:V
overidealize;overidealizes;is overidealizeing:V
overidentify;overidentifys;is overidentifying:V
overincline;overinclines;is overinclineing:V
overindustrialize;overindustrializes;is overindustrializeing:V
overintellectualize;overintellectualizes;is overintellectualizeing:V
overintensify;overintensifys;is overintensifying:V
overinvest;overinvests;is overinvestting:V
overissue;overissues;is overissueing:V
overlaid;overlaids;is overlaidding:V
overland;overlands;is overlandding:V
overlap;overlaps;is overlaping:V
overlegislate;overlegislates;is overlegislateing:V
overliberalize;overliberalizes;is overliberalizeing:V
overlie;overlies;is overlieing:V
overlive;overlives;is overliveing:V
overload;overloads;is overloadding:V
overlook;overlooks;is overlooking:V
overlove;overloves;is overloveing:V
overmarch;overmarchs;is overmarching:V
overmatch;overmatchs;is overmatching:V
overmelt;overmelts;is overmeltting:V
overmerit;overmerits;is overmeritting:V
overmitigate;overmitigates;is overmitigateing:V
overmix;overmixs;is overmixing:V
overmobilize;overmobilizes;is overmobilizeing:V
overmodernize;overmodernizes;is overmodernizeing:V
overmodify;overmodifys;is overmodifying:V
overmoisten;overmoistens;is overmoistenning:V
overmoralize;overmoralizes;is overmoralizeing:V
overmortgage;overmortgages;is overmortgageing:V
overmourn;overmourns;is overmournning:V
overmultiply;overmultiplys;is overmultiplying:V
overobject;overobjects;is overobjectting:V
overoxidize;overoxidizes;is overoxidizeing:V
overpack;overpacks;is overpacking:V
overpark;overparks;is overparking:V
overpay;overpays;is overpaying:V
overpictorialize;overpictorializes;is overpictorializeing:V
overpitch;overpitchs;is overpitching:V
overplease;overpleases;is overpleaseing:V
overplow;overplows;is overplowing:V
overply;overplys;is overplying:V
overpoeticize;overpoeticizes;is overpoeticizeing:V
overprint;overprints;is overprintting:V
overprovoke;overprovokes;is overprovokeing:V
overpsychologize;overpsychologizes;is overpsychologizeing:V
overpunish;overpunishs;is overpunishing:V
overran;overrans;is overranning:V
overrationalize;overrationalizes;is overrationalizeing:V
overreduce;overreduces;is overreduceing:V
overrefine;overrefines;is overrefineing:V
overregulate;overregulates;is overregulateing:V
overrelax;overrelaxs;is overrelaxing:V
overresist;overresists;is overresistting:V
overreward;overrewards;is overrewardding:V
override;overrides;is overrideing:V
overripen;overripens;is overripenning:V
overroast;overroasts;is overroastting:V
overromanticize;overromanticizes;is overromanticizeing:V
overscruple;overscruples;is overscrupleing:V
oversee;oversees;is overseeing:V
oversell;oversells;is oversellling:V
oversensitize;oversensitizes;is oversensitizeing:V
oversentimentalize;oversentimentalizes;is oversentimentalizeing:V
oversettle;oversettles;is oversettleing:V
overset;oversets;is oversetting:V
oversew;oversews;is oversewing:V
overshoot;overshoots;is overshootting:V
overshorten;overshortens;is overshortenning:V
overshrink;overshrinks;is overshrinking:V
oversimplify;oversimplifys;is oversimplifying:V
oversleep;oversleeps;is oversleeping:V
overslept;overslepts;is oversleptting:V
oversoak;oversoaks;is oversoaking:V
oversoften;oversoftens;is oversoftenning:V
oversold;oversolds;is oversoldding:V
overspecialize;overspecializes;is overspecializeing:V
overspend;overspends;is overspendding:V
overspice;overspices;is overspiceing:V
overspill;overspills;is overspillling:V
overspilt;overspilts;is overspiltting:V
oversshot;oversshots;is oversshotting:V
overstep;oversteps;is oversteping:V
overstiffen;overstiffens;is overstiffenning:V
overstimulate;overstimulates;is overstimulateing:V
overstir;overstirs;is overstiring:V
overstore;overstores;is overstoreing:V
overstraighten;overstraightens;is overstraightenning:V
overstrengthen;overstrengthens;is overstrengthenning:V
oversup;oversups;is oversuping:V
overtake;overtakes;is overtakeing:V
overtaught;overtaughts;is overtaughtting:V
overteach;overteachs;is overteaching:V
overthrong;overthrongs;is overthronging:V
overtime;overtimes;is overtimeing:V
overtint;overtints;is overtintting:V
overtoil;overtoils;is overtoilling:V
overtook;overtooks;is overtooking:V
overtop;overtops;is overtoping:V
overtrim;overtrims;is overtrimming:V
overtrouble;overtroubles;is overtroubleing:V
overtrump;overtrumps;is overtrumping:V
overtrust;overtrusts;is overtrustting:V
overturn;overturns;is overturnning:V
overtwist;overtwists;is overtwistting:V
overunionize;overunionizes;is overunionizeing:V
overurbanize;overurbanizes;is overurbanizeing:V
overurge;overurges;is overurgeing:V
overvary;overvarys;is overvarying:V
overweight;overweights;is overweightting:V
overwind;overwinds;is overwindding:V
overwore;overwores;is overworeing:V
overwork;overworks;is overworking:V
overworn;overworns;is overwornning:V
overwrite;overwrites;is overwriteing:V
overwrote;overwrotes;is overwroteing:V
overwwrought;overwwroughts;is overwwroughtting:V
owe;owes;is oweing:V
oxidate;oxidates;is oxidateing:V
oxidize;oxidizes;is oxidizeing:V
pacify;pacifys;is pacifying:V
pack up;pack ups;is pack uping:V
pack;packs;is packing:V
paddle;paddles;is paddleing:V
pad;pads;is padding:V
paganize;paganizes;is paganizeing:V
paid;paids;is paidding:V
paint;paints;is paintting:V
pair;pairs;is pairing:V
pal up;pal ups;is pal uping:V
pale;pales;is paleing:V
palsy;palsys;is palsying:V
pal;pals;is palling:V
pancake;pancakes;is pancakeing:V
pandy;pandys;is pandying:V
panegyrize;panegyrizes;is panegyrizeing:V
panel;panels;is panelling:V
panhandle;panhandles;is panhandleing:V
panic;panics;is panicing:V
pantomime;pantomimes;is pantomimeing:V
pant;pants;is pantting:V
pan;pans;is panning:V
paper;papers;is papering:V
parachute;parachutes;is parachuteing:V
parade;parades;is paradeing:V
parallel;parallels;is parallelling:V
paraphrase;paraphrases;is paraphraseing:V
parcel;parcels;is parcelling:V
parch;parchs;is parching:V
parget;pargets;is pargetting:V
park;parks;is parking:V
parody;parodys;is parodying:V
parries;parriess;is parriesing:V
parry;parrys;is parrying:V
parse;parses;is parseing:V
partaken;partakens;is partakenning:V
partake;partakes;is partakeing:V
particularize;particularizes;is particularizeing:V
partner;partners;is partnering:V
partook;partooks;is partooking:V
part;parts;is partting:V
pash;pashs;is pashing:V
pasquinade;pasquinades;is pasquinadeing:V
pass off;pass offs;is pass offing:V
pass out;pass outs;is pass outting:V
passage;passages;is passageing:V
pass;passs;is passing:V
patrol;patrols;is patrolling:V
patronize;patronizes;is patronizeing:V
pattern;patterns;is patternning:V
patter;patters;is pattering:V
pat;pats;is patting:V
paunch;paunchs;is paunching:V
paw;paws;is pawing:V
pay down;pay downs;is pay downning:V
pay for;pay fors;is pay foring:V
pay out;pay outs;is pay outting:V
pay up;pay ups;is pay uping:V
pay;pays;is paying:V
peacock;peacocks;is peacocking:V
pearl;pearls;is pearlling:V
pebble;pebbles;is pebbleing:V
peck;pecks;is pecking:V
pectize;pectizes;is pectizeing:V
peculate;peculates;is peculateing:V
pedal;pedals;is pedalling:V
peddle;peddles;is peddleing:V
peduncular;pedunculars;is peduncularing:V
peel off;peel offs;is peel offing:V
pee;pees;is peeing:V
peg out;peg outs;is peg outting:V
peg;pegs;is peging:V
pencil;pencils;is pencilling:V
penetrate;penetrates;is penetrateing:V
pent;pents;is pentting:V
pen;pens;is penning:V
pep;peps;is peping:V
perambulate;perambulates;is perambulateing:V
perceive;perceives;is perceiveing:V
perch;perchs;is perching:V
percolate;percolates;is percolateing:V
perfect;perfects;is perfectting:V
perforate;perforates;is perforateing:V
perform;performs;is performming:V
perfume;perfumes;is perfumeing:V
perk up;perk ups;is perk uping:V
perk;perks;is perking:V
permeate;permeates;is permeateing:V
permit;permits;is permitting:V
perpend;perpends;is perpendding:V
personify;personifys;is personifying:V
perspire;perspires;is perspireing:V
pervert;perverts;is pervertting:V
pestle;pestles;is pestleing:V
petrify;petrifys;is petrifying:V
pettifog;pettifogs;is pettifoging:V
pet;pets;is petting:V
phone;phones;is phoneing:V
phosphorate;phosphorates;is phosphorateing:V
photocopy;photocopys;is photocopying:V
photograph;photographs;is photographing:V
photomap;photomaps;is photomaping:V
photoset;photosets;is photosetting:V
Photostat;Photostats;is Photostatting:V
photosynthesize;photosynthesizes;is photosynthesizeing:V
physic;physics;is physicing:V
pick-up;pick-ups;is pick-uping:V
pickaxe;pickaxes;is pickaxeing:V
picket;pickets;is picketting:V
pick;picks;is picking:V
picnic;picnics;is picnicing:V
pierce;pierces;is pierceing:V
pig;pigs;is piging:V
pile up;pile ups;is pile uping:V
pile;piles;is pileing:V
pilfer;pilfers;is pilfering:V
pillage;pillages;is pillageing:V
pillory;pillorys;is pillorying:V
pill;pills;is pillling:V
pinch-hit;pinch-hits;is pinch-hitting:V
pinch;pinchs;is pinching:V
pin;pins;is pinning:V
pioneer;pioneers;is pioneering:V
pipe;pipes;is pipeing:V
pip;pips;is piping:V
pique;piques;is piqueing:V
pish;pishs;is pishing:V
piss off;piss offs;is piss offing:V
pistol-whip;pistol-whips;is pistol-whiping:V
pistol;pistols;is pistolling:V
pitapat;pitapats;is pitapatting:V
pitch;pitchs;is pitching:V
pity;pitys;is pitying:V
pit;pits;is pitting:V
pi;pis;is piing:V
place kick;place kicks;is place kicking:V
place;places;is placeing:V
plagiarize;plagiarizes;is plagiarizeing:V
plague;plagues;is plagueing:V
plain;plains;is plainning:V
plane table;plane tables;is plane tableing:V
plan;plans;is planning:V
plash;plashs;is plashing:V
plasmolyse;plasmolyses;is plasmolyseing:V
plaster;plasters;is plastering:V
plasticize;plasticizes;is plasticizeing:V
platemark;platemarks;is platemarking:V
Platonize;Platonizes;is Platonizeing:V
plat;plats;is platting:V
play along;plays along;is playing along:V
play off;play offs;is play offing:V
play up;play ups;is play uping:V
playback;playbacks;is playbacking:V
play;plays;is playing:V
pleach;pleachs;is pleaching:V
plead;pleads;is pleadding:V
please;pleases;is pleaseing:V
pleasure;pleasures;is pleasureing:V
pledge;pledges;is pledgeing:V
plod;plods;is plodding:V
plonk;plonks;is plonking:V
plop;plops;is ploping:V
plot;plots;is plotting:V
plough;ploughs;is ploughing:V
plow;plows;is plowing:V
plug;plugs;is pluging:V
plump;plumps;is plumping:V
plunder;plunders;is plundering:V
plunge;plunges;is plungeing:V
plunk;plunks;is plunking:V
ply;plys;is plying:V
poach;poachs;is poaching:V
pod;pods;is podding:V
point;points;is pointting:V
poise;poises;is poiseing:V
polarize;polarizes;is polarizeing:V
pole vault;pole vaults;is pole vaultting:V
polish up;polish ups;is polish uping:V
polish;polishs;is polishing:V
polka;polkas;is polkaing:V
poll;polls;is pollling:V
polymerize;polymerizes;is polymerizeing:V
pommel;pommels;is pommelling:V
ponder;ponders;is pondering:V
pontificate;pontificates;is pontificateing:V
poop;poops;is pooping:V
pop;pops;is poping:V
portage;portages;is portageing:V
port;ports;is portting:V
pose;poses;is poseing:V
postfix;postfixs;is postfixing:V
postil;postils;is postilling:V
postulate;postulates;is postulateing:V
posture;postures;is postureing:V
posturize;posturizes;is posturizeing:V
pother;pothers;is pothering:V
pot;pots;is potting:V
pound;pounds;is poundding:V
pour;pours;is pouring:V
pout;pouts;is poutting:V
powder;powders;is powdering:V
power dive;power dives;is power diveing:V
practice;practices;is practiceing:V
practise;practises;is practiseing:V
prang;prangs;is pranging:V
pray;prays;is praying:V
preabsorb;preabsorbs;is preabsorbing:V
preaccept;preaccepts;is preacceptting:V
preaccount;preaccounts;is preaccountting:V
preachify;preachifys;is preachifying:V
preach;preachs;is preaching:V
preacquire;preacquires;is preacquireing:V
preadjourn;preadjourns;is preadjournning:V
preadvertise;preadvertises;is preadvertiseing:V
preaffiliate;preaffiliates;is preaffiliateing:V
preaffirm;preaffirms;is preaffirmming:V
preage;preages;is preageing:V
preally;preallys;is preallying:V
preapprove;preapproves;is preapproveing:V
prebade;prebades;is prebadeing:V
prebalance;prebalances;is prebalanceing:V
prebelieve;prebelieves;is prebelieveing:V
prebenefit;prebenefits;is prebenefitting:V
prebid;prebids;is prebidding:V
preboast;preboasts;is preboastting:V
precancel;precancels;is precancelling:V
precast;precasts;is precastting:V
precede;precedes;is precedeing:V
precelebrate;precelebrates;is precelebrateing:V
precess;precesss;is precessing:V
precipitate;precipitates;is precipitateing:V
precirculate;precirculates;is precirculateing:V
precogitate;precogitates;is precogitateing:V
precollapse;precollapses;is precollapseing:V
precolor;precolors;is precoloring:V
precolour;precolours;is precolouring:V
precombat;precombats;is precombatting:V
precombine;precombines;is precombineing:V
precommand;precommands;is precommandding:V
precomment;precomments;is precommentting:V
precommunicate;precommunicates;is precommunicateing:V
precompound;precompounds;is precompoundding:V
preconcentrate;preconcentrates;is preconcentrateing:V
precondense;precondenses;is precondenseing:V
preconfide;preconfides;is preconfideing:V
preconform;preconforms;is preconformming:V
preconsolidate;preconsolidates;is preconsolidateing:V
preconspire;preconspires;is preconspireing:V
preconsult;preconsults;is preconsultting:V
precontemplate;precontemplates;is precontemplateing:V
precontract;precontracts;is precontractting:V
precontrive;precontrives;is precontriveing:V
precounsel;precounsels;is precounselling:V
predecease;predeceases;is predeceaseing:V
predefault;predefaults;is predefaultting:V
predefeat;predefeats;is predefeatting:V
predelay;predelays;is predelaying:V
predelegate;predelegates;is predelegateing:V
predeposit;predeposits;is predepositting:V
predepreciate;predepreciates;is predepreciateing:V
predescend;predescends;is predescendding:V
predestinate;predestinates;is predestinateing:V
predevelop;predevelops;is predeveloping:V
predicate;predicates;is predicateing:V
predispute;predisputes;is predisputeing:V
predoubt;predoubts;is predoubtting:V
predrawn;predrawns;is predrawnning:V
predraw;predraws;is predrawing:V
predrew;predrews;is predrewing:V
predriven;predrivens;is predrivenning:V
predrive;predrives;is predriveing:V
predrove;predroves;is predroveing:V
preenlist;preenlists;is preenlistting:V
preenroll;preenrolls;is preenrollling:V
preen;preens;is preenning:V
preevaporate;preevaporates;is preevaporateing:V
preexplain;preexplains;is preexplainning:V
preexplode;preexplodes;is preexplodeing:V
preextend;preextends;is preextendding:V
prefer;prefers;is prefering:V
prefix;prefixs;is prefixing:V
preguess;preguesss;is preguessing:V
preinsinuate;preinsinuates;is preinsinuateing:V
preinterest;preinterests;is preinterestting:V
preinvestigate;preinvestigates;is preinvestigateing:V
prelease;preleases;is preleaseing:V
prelecture;prelectures;is prelectureing:V
preloan;preloans;is preloanning:V
prelocate;prelocates;is prelocateing:V
prelude;preludes;is preludeing:V
premanifest;premanifests;is premanifestting:V
premeditate;premeditates;is premeditateing:V
premise;premises;is premiseing:V
prenegotiate;prenegotiates;is prenegotiateing:V
preoccupy;preoccupys;is preoccupying:V
preorganize;preorganizes;is preorganizeing:V
prepare;prepares;is prepareing:V
prepay;prepays;is prepaying:V
preplan;preplans;is preplanning:V
prepractice;prepractices;is prepracticeing:V
prepractise;prepractises;is prepractiseing:V
prequalify;prequalifys;is prequalifying:V
prereport;prereports;is prereportting:V
preresemble;preresembles;is preresembleing:V
preresolve;preresolves;is preresolveing:V
presacrifice;presacrifices;is presacrificeing:V
presage;presages;is presageing:V
prescind;prescinds;is prescindding:V
prescribe;prescribes;is prescribeing:V
present;presents;is presentting:V
preserve;preserves;is preserveing:V
preset;presets;is presetting:V
presignify;presignifys;is presignifying:V
presound;presounds;is presoundding:V
press gang;press gangs;is press ganging:V
pressure-cook;pressure-cooks;is pressure-cooking:V
press;presss;is pressing:V
presubscribe;presubscribes;is presubscribeing:V
presuffer;presuffers;is presuffering:V
presume;presumes;is presumeing:V
pretaught;pretaughts;is pretaughtting:V
preteach;preteachs;is preteaching:V
pretell;pretells;is pretellling:V
pretend;pretends;is pretendding:V
pretermit;pretermits;is pretermitting:V
pretold;pretolds;is pretoldding:V
pretravel;pretravels;is pretravelling:V
prettify;prettifys;is prettifying:V
preunderstand;preunderstands;is preunderstandding:V
preunderstood;preunderstoods;is preunderstoodding:V
preventure;preventures;is preventureing:V
previsit;previsits;is previsitting:V
prevolunteer;prevolunteers;is prevolunteering:V
prevote;prevotes;is prevoteing:V
preworship;preworships;is preworshiping:V
prickle;prickles;is prickleing:V
prick;pricks;is pricking:V
pries;priess;is priesing:V
prig;prigs;is priging:V
prime;primes;is primeing:V
primp;primps;is primping:V
prim;prims;is primming:V
prink;prinks;is prinking:V
print;prints;is printting:V
prize;prizes;is prizeing:V
procrastinate;procrastinates;is procrastinateing:V
procreate;procreates;is procreateing:V
produce;produces;is produceing:V
prod;prods;is prodding:V
profess;professs;is professing:V
profit;profits;is profitting:V
prognosticate;prognosticates;is prognosticateing:V
programme;programmes;is programmeing:V
program;programs;is programming:V
progress;progresss;is progressing:V
prog;progs;is proging:V
project;projects;is projectting:V
proliferate;proliferates;is proliferateing:V
prologue;prologues;is prologueing:V
promenade;promenades;is promenadeing:V
promise;promises;is promiseing:V
pronounce;pronounces;is pronounceing:V
proofread;proofreads;is proofreadding:V
propagate;propagates;is propagateing:V
propel;propels;is propelling:V
prophesy;prophesys;is prophesying:V
proportionate;proportionates;is proportionateing:V
propose;proposes;is proposeing:V
prop;props;is proping:V
prorate;prorates;is prorateing:V
prorogue;prorogues;is prorogueing:V
proselyte;proselytes;is proselyteing:V
proselytize;proselytizes;is proselytizeing:V
prose;proses;is proseing:V
prospect;prospects;is prospectting:V
prosper;prospers;is prospering:V
prostrate;prostrates;is prostrateing:V
protest;protests;is protestting:V
protrude;protrudes;is protrudeing:V
proven;provens;is provenning:V
prove;proves;is proveing:V
provide;provides;is provideing:V
prowl;prowls;is prowlling:V
prune;prunes;is pruneing:V
pry;prys;is prying:V
publish;publishs;is publishing:V
pub;pubs;is pubing:V
pucker;puckers;is puckering:V
puff;puffs;is puffing:V
pug;pugs;is puging:V
puke;pukes;is pukeing:V
pull back;pull backs;is pull backing:V
pull in;pull ins;is pull inning:V
pull out;pull outs;is pull outting:V
pull through;pull throughs;is pull throughing:V
pull up;pull ups;is pull uping:V
pull;pulls;is pullling:V
pulp;pulps;is pulping:V
pulverize;pulverizes;is pulverizeing:V
pummel;pummels;is pummelling:V
pump;pumps;is pumping:V
punch;punchs;is punching:V
punctuate;punctuates;is punctuateing:V
punish;punishs;is punishing:V
punt;punts;is puntting:V
pun;puns;is punning:V
pup;pups;is puping:V
puree;purees;is pureeing:V
purfle;purfles;is purfleing:V
purify;purifys;is purifying:V
purloin;purloins;is purloinning:V
purl;purls;is purlling:V
purport;purports;is purportting:V
pursue;pursues;is pursueing:V
push off;push offs;is push offing:V
push;pushs;is pushing:V
pustulate;pustulates;is pustulateing:V
put about;put abouts;is put aboutting:V
put in;put ins;is put inning:V
put up;put ups;is put uping:V
put-put;put-puts;is put-putting:V
putrefy;putrefys;is putrefying:V
putter;putters;is puttering:V
putty;puttys;is puttying:V
putt;putts;is puttting:V
put;puts;is putting:V
puzzle;puzzles;is puzzleing:V
pyramid;pyramids;is pyramidding:V
quadrate;quadrates;is quadrateing:V
quadrisect;quadrisects;is quadrisectting:V
quadruple;quadruples;is quadrupleing:V
quadruplicate;quadruplicates;is quadruplicateing:V
quaff;quaffs;is quaffing:V
qualify;qualifys;is qualifying:V
quantify;quantifys;is quantifying:V
quant;quants;is quantting:V
quarrel;quarrels;is quarrelling:V
quarry;quarrys;is quarrying:V
quartersaw;quartersaws;is quartersawing:V
quasi-admire;quasi-admires;is quasi-admireing:V
quasi-attempt;quasi-attempts;is quasi-attemptting:V
quasi-determine;quasi-determines;is quasi-determineing:V
quasi-pledge;quasi-pledges;is quasi-pledgeing:V
quaver;quavers;is quavering:V
queen;queens;is queenning:V
query;querys;is querying:V
question;questions;is questionning:V
quest;quests;is questting:V
queue;queues;is queueing:V
quick-freeze;quick-freezes;is quick-freezeing:V
quicken;quickens;is quickenning:V
quickstep;quicksteps;is quicksteping:V
quieten;quietens;is quietenning:V
quiet;quiets;is quietting:V
quintuple;quintuples;is quintupleing:V
quintuplicate;quintuplicates;is quintuplicateing:V
quip;quips;is quiping:V
quit;quits;is quitting:V
quizzes;quizzess;is quizzesing:V
quiz;quizs;is quizing:V
quote;quotes;is quoteing:V
quoth;quoths;is quothing:V
rabbet;rabbets;is rabbetting:V
racemize;racemizes;is racemizeing:V
race;races;is raceing:V
rack-rent;rack-rents;is rack-rentting:V
raddle;raddles;is raddleing:V
radiate;radiates;is radiateing:V
radiotelegraph;radiotelegraphs;is radiotelegraphing:V
radiotelephone;radiotelephones;is radiotelephoneing:V
radio;radios;is radioing:V
raft;rafts;is raftting:V
ragout;ragouts;is ragoutting:V
rag;rags;is raging:V
raid;raids;is raidding:V
raise;raises;is raiseing:V
rake-off;rake-offs;is rake-offing:V
rake;rakes;is rakeing:V
rally;rallys;is rallying:V
ramify;ramifys;is ramifying:V
rampage;rampages;is rampageing:V
ram;rams;is ramming:V
range;ranges;is rangeing:V
rang;rangs;is ranging:V
rant;rants;is rantting:V
ran;rans;is ranning:V
rape;rapes;is rapeing:V
rappel;rappels;is rappelling:V
rap;raps;is raping:V
rarefy;rarefys;is rarefying:V
rase;rases;is raseing:V
rate;rates;is rateing:V
ratify;ratifys;is ratifying:V
rationalize;rationalizes;is rationalizeing:V
ratoon;ratoons;is ratoonning:V
rattle;rattles;is rattleing:V
rattoon;rattoons;is rattoonning:V
rat;rats;is ratting:V
ravage;ravages;is ravageing:V
ravel;ravels;is ravelling:V
raven;ravens;is ravenning:V
rave;raves;is raveing:V
ravin;ravins;is ravinning:V
ray;rays;is raying:V
razee;razees;is razeeing:V
razor-cut;razor-cuts;is razor-cutting:V
rbound;rbounds;is rboundding:V
re-count;re-counts;is re-countting:V
re-create;re-creates;is re-createing:V
re-echo;re-echos;is re-echoing:V
re-export;re-exports;is re-exportting:V
re-form;re-forms;is re-formming:V
re-sign;re-signs;is re-signning:V
re-sound;re-sounds;is re-soundding:V
re-tread;re-treads;is re-treadding:V
reacclimate;reacclimates;is reacclimateing:V
reacclimatize;reacclimatizes;is reacclimatizeing:V
reaccommodate;reaccommodates;is reaccommodateing:V
reaccumulate;reaccumulates;is reaccumulateing:V
reacidify;reacidifys;is reacidifying:V
read into;read intos;is read intoing:V
read in;read ins;is read inning:V
read out;read outs;is read outting:V
read up;read ups;is read uping:V
readiest;readiests;is readiestting:V
readjourn;readjourns;is readjournning:V
readjudicate;readjudicates;is readjudicateing:V
readjust;readjusts;is readjustting:V
