abate;abates;is abating:Verb
preilluminate;preilluminates;is preilluminateing:Transitive_Verb
preillustrate;preillustrates;is preillustrateing:Transitive_Verb
preimagine;preimagines;is preimagineing:Transitive_Verb
preimbibe;preimbibes;is preimbibeing:Transitive_Verb
preimbue;preimbues;is preimbueing:Transitive_Verb
preimitate;preimitates;is preimitateing:Transitive_Verb
preimpair;preimpairs;is preimpairing:Transitive_Verb
preimpart;preimparts;is preimparting:Transitive_Verb
preimport;preimports;is preimporting:Transitive_Verb
preimpose;preimposes;is preimposeing:Transitive_Verb
preimpress;preimpresss;is preimpressing:Transitive_Verb
preimprove;preimproves;is preimproveing:Transitive_Verb
preinaugurate;preinaugurates;is preinaugurateing:Transitive_Verb
preincline;preinclines;is preinclineing:Transitive_Verb
preinclude;preincludes;is preincludeing:Transitive_Verb
preincorporate;preincorporates;is preincorporateing:Transitive_Verb
preincrease;preincreases;is preincreaseing:Transitive_Verb
preindemnify;preindemnifys;is preindemnifying:Transitive_Verb
preindicate;preindicates;is preindicateing:Transitive_Verb
preindispose;preindisposes;is preindisposeing:Transitive_Verb
preinduce;preinduces;is preinduceing:Transitive_Verb
preindulge;preindulges;is preindulgeing:Transitive_Verb
preinfect;preinfects;is preinfecting:Transitive_Verb
preinfer;preinfers;is preinfering:Transitive_Verb
preinflict;preinflicts;is preinflicting:Transitive_Verb
preinform;preinforms;is preinformming:Transitive_Verb
preinhabit;preinhabits;is preinhabiting:Transitive_Verb
preinherit;preinherits;is preinheriting:Transitive_Verb
preinitial;preinitials;is preinitialling:Transitive_Verb
preinitiate;preinitiates;is preinitiateing:Transitive_Verb
preinscribe;preinscribes;is preinscribeing:Transitive_Verb
preinsert;preinserts;is preinserting:Transitive_Verb
preinspect;preinspects;is preinspecting:Transitive_Verb
preinspire;preinspires;is preinspireing:Transitive_Verb
preinstall;preinstalls;is preinstallling:Transitive_Verb
preinstill;preinstills;is preinstillling:Transitive_Verb
preinstruct;preinstructs;is preinstructing:Transitive_Verb
preinsulate;preinsulates;is preinsulateing:Transitive_Verb
preinsult;preinsults;is preinsulting:Transitive_Verb
preinsure;preinsures;is preinsureing:Transitive_Verb
preintend;preintends;is preintending:Transitive_Verb
preinterpret;preinterprets;is preinterpreting:Transitive_Verb
preinterview;preinterviews;is preinterviewing:Transitive_Verb
preintimate;preintimates;is preintimateing:Transitive_Verb
preinvent;preinvents;is preinventing:Transitive_Verb
preinvest;preinvests;is preinvesting:Transitive_Verb
preinvite;preinvites;is preinviteing:Transitive_Verb
preinvolve;preinvolves;is preinvolveing:Transitive_Verb
preissue;preissues;is preissueing:Transitive_Verb
prejudge;prejudges;is prejudgeing:Transitive_Verb
prejudice;prejudices;is prejudiceing:Transitive_Verb
prejustify;prejustifys;is prejustifying:Transitive_Verb
prekindle;prekindles;is prekindleing:Transitive_Verb
preknew;preknews;is preknewing:Transitive_Verb
preknit;preknits;is prekniting:Transitive_Verb
preknown;preknowns;is preknowning:Transitive_Verb
preknow;preknows;is preknowing:Transitive_Verb
prelabel;prelabels;is prelabelling:Transitive_Verb
prelaunch;prelaunchs;is prelaunching:Transitive_Verb
preliberate;preliberates;is preliberateing:Transitive_Verb
prelicense;prelicenses;is prelicenseing:Transitive_Verb
prelimitate;prelimitates;is prelimitateing:Transitive_Verb
preliquidate;preliquidates;is preliquidateing:Transitive_Verb
prelude;preludes;is preludeing:Transitive_Verb
premade;premades;is premadeing:Transitive_Verb
premaintain;premaintains;is premaintaining:Transitive_Verb
premake;premakes;is premakeing:Transitive_Verb
premanufacture;premanufactures;is premanufactureing:Transitive_Verb
premarry;premarrys;is premarrying:Transitive_Verb
prematch;prematchs;is prematching:Transitive_Verb
premate;premates;is premateing:Transitive_Verb
premeasure;premeasures;is premeasureing:Transitive_Verb
premedicate;premedicates;is premedicateing:Transitive_Verb
premenace;premenaces;is premenaceing:Transitive_Verb
premention;prementions;is prementioning:Transitive_Verb
premerit;premerits;is premeriting:Transitive_Verb
premiate;premiates;is premiateing:Transitive_Verb
Preminger;Premingers;is Premingering:Transitive_Verb
premisrepresent;premisrepresents;is premisrepresenting:Transitive_Verb
premix;premixs;is premixing:Transitive_Verb
premodify;premodifys;is premodifying:Transitive_Verb
premold;premolds;is premolding:Transitive_Verb
premonish;premonishs;is premonishing:Transitive_Verb
premonopolize;premonopolizes;is premonopolizeing:Transitive_Verb
premortify;premortifys;is premortifying:Transitive_Verb
premuddle;premuddles;is premuddleing:Transitive_Verb
premuster;premusters;is premustering:Transitive_Verb
prenecessitate;prenecessitates;is prenecessitateing:Transitive_Verb
preneglect;preneglects;is preneglecting:Transitive_Verb
prenominate;prenominates;is prenominateing:Transitive_Verb
prenote;prenotes;is prenoteing:Transitive_Verb
prenotify;prenotifys;is prenotifying:Transitive_Verb
prenumber;prenumbers;is prenumbering:Transitive_Verb
preobligate;preobligates;is preobligateing:Transitive_Verb
preoblige;preobliges;is preobligeing:Transitive_Verb
preobserve;preobserves;is preobserveing:Transitive_Verb
preobstruct;preobstructs;is preobstructing:Transitive_Verb
preobtain;preobtains;is preobtaining:Transitive_Verb
preobtrude;preobtrudes;is preobtrudeing:Transitive_Verb
preobviate;preobviates;is preobviateing:Transitive_Verb
preoffend;preoffends;is preoffending:Transitive_Verb
preoffer;preoffers;is preoffering:Transitive_Verb
preomit;preomits;is preomiting:Transitive_Verb
preopen;preopens;is preopening:Transitive_Verb
preoppose;preopposes;is preopposeing:Transitive_Verb
preoppress;preoppresss;is preoppressing:Transitive_Verb
preoral;preorals;is preoralling:Transitive_Verb
preordain;preordains;is preordaining:Transitive_Verb
preoutfit;preoutfits;is preoutfiting:Transitive_Verb
preoutline;preoutlines;is preoutlineing:Transitive_Verb
preoverthrew;preoverthrews;is preoverthrewing:Transitive_Verb
preoverthrown;preoverthrowns;is preoverthrowning:Transitive_Verb
preoverthrow;preoverthrows;is preoverthrowing:Transitive_Verb
prepackage;prepackages;is prepackageing:Transitive_Verb
prepare;prepares;is prepareing:Transitive_Verb
prepartition;prepartitions;is prepartitioning:Transitive_Verb
prepatent;prepatents;is prepatenting:Transitive_Verb
prepave;prepaves;is prepaveing:Transitive_Verb
prepenetrate;prepenetrates;is prepenetrateing:Transitive_Verb
prepersuade;prepersuades;is prepersuadeing:Transitive_Verb
preperuse;preperuses;is preperuseing:Transitive_Verb
prepetition;prepetitions;is prepetitioning:Transitive_Verb
preplace;preplaces;is preplaceing:Transitive_Verb
preplant;preplants;is preplanting:Transitive_Verb
prepledge;prepledges;is prepledgeing:Transitive_Verb
preplot;preplots;is preploting:Transitive_Verb
prepolish;prepolishs;is prepolishing:Transitive_Verb
preportray;preportrays;is preportraying:Transitive_Verb
prepossess;prepossesses;is prepossessing:Transitive_Verb
preprice;preprices;is prepricing:Transitive_Verb
preprofess;preprofesses;is preprofessing:Transitive_Verb
prepromise;prepromises;is prepromising:Transitive_Verb
prepromote;prepromotes;is prepromoting:Transitive_Verb
prepronounce;prepronounces;is prepronouncing:Transitive_Verb
preprove;preproves;is preproving:Transitive_Verb
preprovide;preprovides;is preproviding:Transitive_Verb
preprovoke;preprovokes;is preprovoking:Transitive_Verb
prepublish;prepublishs;is prepublishing:Transitive_Verb
prepunish;prepunishs;is prepunishing:Transitive_Verb
prepurchase;prepurchases;is prepurchaseing:Transitive_Verb
prepurpose;prepurposes;is prepurposeing:Transitive_Verb
prequarantine;prequarantines;is prequarantineing:Transitive_Verb
prequestion;prequestions;is prequestioning:Transitive_Verb
prequote;prequotes;is prequoteing:Transitive_Verb
prerealize;prerealizes;is prerealizing:Transitive_Verb
prereceipt;prereceipts;is prereceipting:Transitive_Verb
prereceive;prereceives;is prereceiving:Transitive_Verb
prerecite;prerecites;is prereciting:Transitive_Verb
prereckon;prereckons;is prereckoning:Transitive_Verb
prerecognize;prerecognizes;is prerecognizing:Transitive_Verb
prerecommend;prerecommends;is prerecommending:Transitive_Verb
prereconcile;prereconciles;is prereconciling:Transitive_Verb
prerecord;prerecords;is prerecording:Transitive_Verb
preredeem;preredeems;is preredeeming:Transitive_Verb
prerefer;prerefers;is prerefering:Transitive_Verb
prerefine;prerefines;is prerefineing:Transitive_Verb
prerefuse;prerefuses;is prerefusing:Transitive_Verb
preregister;preregisters;is preregistering:Transitive_Verb
preregulate;preregulates;is preregulateing:Transitive_Verb
prereject;prerejects;is prerejecting:Transitive_Verb
prerelate;prerelates;is prerelateing:Transitive_Verb
preremit;preremits;is preremiting:Transitive_Verb
preremove;preremoves;is preremoveing:Transitive_Verb
preremunerate;preremunerates;is preremunerateing:Transitive_Verb
prerent;prerents;is prerenting:Transitive_Verb
prerepresent;prerepresents;is prerepresenting:Transitive_Verb
prerequest;prerequests;is prerequesting:Transitive_Verb
prerequire;prerequires;is prerequireing:Transitive_Verb
prerespire;prerespires;is prerespireing:Transitive_Verb
prerestrain;prerestrains;is prerestraining:Transitive_Verb
prerestrict;prerestricts;is prerestricting:Transitive_Verb
prereveal;prereveals;is prerevealling:Transitive_Verb
prerevenge;prerevenges;is prerevengeing:Transitive_Verb
prereverse;prereverses;is prereverseing:Transitive_Verb
prereview;prereviews;is prereviewing:Transitive_Verb
prerevise;prerevises;is prereviseing:Transitive_Verb
preroute;preroutes;is prerouteing:Transitive_Verb
presage;presages;is presageing:Transitive_Verb
presanctify;presanctifys;is presanctifying:Transitive_Verb
presatisfy;presatisfys;is presatisfying:Transitive_Verb
presaw;presaws;is presawing:Transitive_Verb
prescind;prescinds;is prescinding:Transitive_Verb
prescriptivist;prescriptivists;is prescriptivisting:Transitive_Verb
preseal;preseals;is presealling:Transitive_Verb
presearch;presearchs;is presearching:Transitive_Verb
presecure;presecures;is presecureing:Transitive_Verb
preseen;preseens;is preseening:Transitive_Verb
presee;presees;is preseeing:Transitive_Verb
presentence;presentences;is presentenceing:Transitive_Verb
present;presents;is presenting:Transitive_Verb
preseparate;preseparates;is preseparateing:Transitive_Verb
presettle;presettles;is presettleing:Transitive_Verb
preshadow;preshadows;is preshadowing:Transitive_Verb
preshape;preshapes;is preshapeing:Transitive_Verb
preshare;preshares;is preshareing:Transitive_Verb
presharpen;presharpens;is presharpening:Transitive_Verb
preship;preships;is preshiping:Transitive_Verb
preshorten;preshortens;is preshortening:Transitive_Verb
preshown;preshowns;is preshowning:Transitive_Verb
preshow;preshows;is preshowing:Transitive_Verb
presift;presifts;is presifting:Transitive_Verb
presignal;presignals;is presignalling:Transitive_Verb
presmooth;presmooths;is presmoothing:Transitive_Verb
presolicit;presolicits;is presoliciting:Transitive_Verb
presolve;presolves;is presolveing:Transitive_Verb
prespecify;prespecifys;is prespecifying:Transitive_Verb
prespread;prespreads;is prespreading:Transitive_Verb
presprinkle;presprinkles;is presprinkleing:Transitive_Verb
prespur;prespurs;is prespuring:Transitive_Verb
pressure;pressures;is pressureing:Transitive_Verb
pressurize;pressurizes;is pressurizeing:Transitive_Verb
press;presss;is pressing:Transitive_Verb
prestamp;prestamps;is prestamping:Transitive_Verb
prestandardize;prestandardizes;is prestandardizeing:Transitive_Verb
presteam;presteams;is presteamming:Transitive_Verb
prestimulate;prestimulates;is prestimulateing:Transitive_Verb
prestock;prestocks;is prestocking:Transitive_Verb
prestraighten;prestraightens;is prestraightening:Transitive_Verb
prestrain;prestrains;is prestraining:Transitive_Verb
prestrengthen;prestrengthens;is prestrengthening:Transitive_Verb
prestress;prestresss;is prestressing:Transitive_Verb
prestretch;prestretchs;is prestretching:Transitive_Verb
prestudy;prestudys;is prestudying:Transitive_Verb
presubdue;presubdues;is presubdueing:Transitive_Verb
presubject;presubjects;is presubjecting:Transitive_Verb
presubmit;presubmits;is presubmiting:Transitive_Verb
presubordinate;presubordinates;is presubordinateing:Transitive_Verb
presubstitute;presubstitutes;is presubstituteing:Transitive_Verb
presuggest;presuggests;is presuggesting:Transitive_Verb
presume;presumes;is presumeing:Transitive_Verb
presupervise;presupervises;is presuperviseing:Transitive_Verb
presupplicate;presupplicates;is presupplicateing:Transitive_Verb
presupply;presupplys;is presupplying:Transitive_Verb
presupport;presupports;is presupporting:Transitive_Verb
presuppose;presupposes;is presupposeing:Transitive_Verb
presuppress;presuppresss;is presuppressing:Transitive_Verb
presurmise;presurmises;is presurmiseing:Transitive_Verb
presurround;presurrounds;is presurrounding:Transitive_Verb
presurvey;presurveys;is presurveying:Transitive_Verb
presuspect;presuspects;is presuspecting:Transitive_Verb
presuspend;presuspends;is presuspending:Transitive_Verb
presustain;presustains;is presustaining:Transitive_Verb
preswallow;preswallows;is preswallowing:Transitive_Verb
pretabulate;pretabulates;is pretabulateing:Transitive_Verb
pretaste;pretastes;is pretasteing:Transitive_Verb
pretempt;pretempts;is pretempting:Transitive_Verb
pretend;pretends;is pretending:Transitive_Verb
pretestify;pretestifys;is pretestifying:Transitive_Verb
prethreaten;prethreatens;is prethreatening:Transitive_Verb
prethrust;prethrusts;is prethrusting:Transitive_Verb
pretire;pretires;is pretireing:Transitive_Verb
pretoken;pretokens;is pretokening:Transitive_Verb
pretorture;pretortures;is pretortureing:Transitive_Verb
pretrace;pretraces;is pretraceing:Transitive_Verb
pretrain;pretrains;is pretraining:Transitive_Verb
pretransact;pretransacts;is pretransacting:Transitive_Verb
pretranscribe;pretranscribes;is pretranscribeing:Transitive_Verb
pretranslate;pretranslates;is pretranslateing:Transitive_Verb
pretransmit;pretransmits;is pretransmiting:Transitive_Verb
pretransport;pretransports;is pretransporting:Transitive_Verb
pretry;pretrys;is pretrying:Transitive_Verb
pretypify;pretypifys;is pretypifying:Transitive_Verb
preundertaken;preundertakens;is preundertakening:Transitive_Verb
preundertake;preundertakes;is preundertakeing:Transitive_Verb
preundertook;preundertooks;is preundertooking:Transitive_Verb
preunite;preunites;is preuniteing:Transitive_Verb
preutilize;preutilizes;is preutilizeing:Transitive_Verb
prevacate;prevacates;is prevacateing:Transitive_Verb
prevaccinate;prevaccinates;is prevaccinateing:Transitive_Verb
prevalue;prevalues;is prevalueing:Transitive_Verb
prevent;prevents;is preventing:Transitive_Verb
preverify;preverifys;is preverifying:Transitive_Verb
preview;previews;is previewing:Transitive_Verb
previolate;previolates;is previolateing:Transitive_Verb
previse;previses;is previseing:Transitive_Verb
prevoid;prevoids;is prevoiding:Transitive_Verb
prewarm;prewarms;is prewarmming:Transitive_Verb
prewarn;prewarns;is prewarning:Transitive_Verb
prewarrant;prewarrants;is prewarranting:Transitive_Verb
prewash;prewashs;is prewashing:Transitive_Verb
preweigh;preweighs;is preweighing:Transitive_Verb
prewelcome;prewelcomes;is prewelcomeing:Transitive_Verb
prewhip;prewhips;is prewhiping:Transitive_Verb
prewire;prewires;is prewireing:Transitive_Verb
prewitness;prewitnesss;is prewitnessing:Transitive_Verb
prewound;prewounds;is prewounding:Transitive_Verb
prewrap;prewraps;is prewraping:Transitive_Verb
price;prices;is priceing:Transitive_Verb
prickle;prickles;is prickleing:Transitive_Verb
prickspur;prickspurs;is prickspuring:Transitive_Verb
pride;prides;is prideing:Transitive_Verb
priest;priests;is priesting:Transitive_Verb
prill;prills;is prillling:Transitive_Verb
prime;primes;is primeing:Transitive_Verb
print out;print outs;is print outing:Transitive_Verb
print;prints;is printing:Transitive_Verb
prise;prises;is priseing:Transitive_Verb
privilege;privileges;is privilegeing:Transitive_Verb
prize;prizes;is prizeing:Transitive_Verb
pro memoria;pro memorias;is pro memoriaing:Transitive_Verb
probate;probates;is probateing:Transitive_Verb
probe;probes;is probeing:Transitive_Verb
process;processs;is processing:Transitive_Verb
proclaim;proclaims;is proclaimming:Transitive_Verb
procreant;procreants;is procreanting:Transitive_Verb
procreate;procreates;is procreateing:Transitive_Verb
procure;procures;is procureing:Transitive_Verb
produce;produces;is produceing:Transitive_Verb
prod;prods;is proding:Transitive_Verb
profane;profanes;is profaneing:Transitive_Verb
professionalise;professionalises;is professionaliseing:Transitive_Verb
professionalize;professionalizes;is professionalizeing:Transitive_Verb
profess;professs;is professing:Transitive_Verb
proffer;proffers;is proffering:Transitive_Verb
profile;profiles;is profileing:Transitive_Verb
prognosticate;prognosticates;is prognosticateing:Transitive_Verb
prohibit;prohibits;is prohibiting:Transitive_Verb
project;projects;is projecting:Transitive_Verb
proletarianise;proletarianises;is proletarianiseing:Transitive_Verb
proletarise;proletarises;is proletariseing:Transitive_Verb
proletarize;proletarizes;is proletarizeing:Transitive_Verb
prologos;prologoss;is prologosing:Transitive_Verb
prolongate;prolongates;is prolongateing:Transitive_Verb
prolong;prolongs;is prolonging:Transitive_Verb
promenade;promenades;is promenadeing:Transitive_Verb
promise;promises;is promiseing:Transitive_Verb
promote;promotes;is promoteing:Transitive_Verb
prompt;prompts;is prompting:Transitive_Verb
promulgate;promulgates;is promulgateing:Transitive_Verb
promulge;promulges;is promulgeing:Transitive_Verb
pronate;pronates;is pronateing:Transitive_Verb
prong;prongs;is pronging:Transitive_Verb
pronominalize;pronominalizes;is pronominalizeing:Transitive_Verb
pronounce;pronounces;is pronounceing:Transitive_Verb
proof;proofs;is proofing:Transitive_Verb
propagandise;propagandises;is propagandiseing:Transitive_Verb
propagandize;propagandizes;is propagandizeing:Transitive_Verb
propagate;propagates;is propagateing:Transitive_Verb
propine;propines;is propineing:Transitive_Verb
propitiate;propitiates;is propitiateing:Transitive_Verb
propone;propones;is proponeing:Transitive_Verb
proportionate;proportionates;is proportionateing:Transitive_Verb
proportion;proportions;is proportioning:Transitive_Verb
propose;proposes;is proposeing:Transitive_Verb
proposition;propositions;is propositioning:Transitive_Verb
propound;propounds;is propounding:Transitive_Verb
prop;props;is proping:Transitive_Verb
proscribe;proscribes;is proscribeing:Transitive_Verb
prosect;prosects;is prosecting:Transitive_Verb
prosecute;prosecutes;is prosecuteing:Transitive_Verb
proselytise;proselytises;is proselytiseing:Transitive_Verb
prospect;prospects;is prospecting:Transitive_Verb
prostitute;prostitutes;is prostituteing:Transitive_Verb
prostrate;prostrates;is prostrateing:Transitive_Verb
protect;protects;is protecting:Transitive_Verb
protest;protests;is protesting:Transitive_Verb
protract;protracts;is protracting:Transitive_Verb
proverb;proverbs;is proverbing:Transitive_Verb
provision;provisions;is provisioning:Transitive_Verb
provoke;provokes;is provokeing:Transitive_Verb
prussianise;prussianises;is prussianiseing:Transitive_Verb
Prussianize;Prussianizes;is Prussianizeing:Transitive_Verb
prussianize;prussianizes;is prussianizeing:Transitive_Verb
prcis;prciss;is prcising:Transitive_Verb
psychoanalyse;psychoanalyses;is psychoanalyseing:Transitive_Verb
psych;psychs;is psyching:Transitive_Verb
publicize;publicizes;is publicizeing:Transitive_Verb
publish;publishs;is publishing:Transitive_Verb
puddle;puddles;is puddleing:Transitive_Verb
puff;puffs;is puffing:Transitive_Verb
pull about;pull abouts;is pull abouting:Transitive_Verb
pull down;pull downs;is pull downing:Transitive_Verb
pull in;pull ins;is pull ining:Transitive_Verb
pull off;pull offs;is pull offing:Transitive_Verb
pull on;pull ons;is pull oning:Transitive_Verb
pull up;pull ups;is pull uping:Transitive_Verb
pulp;pulps;is pulping:Transitive_Verb
pulverise;pulverises;is pulveriseing:Transitive_Verb
pulverize;pulverizes;is pulverizeing:Transitive_Verb
pumice;pumices;is pumiceing:Transitive_Verb
pump;pumps;is pumping:Transitive_Verb
punce;punces;is punceing:Transitive_Verb
punch;punchs;is punching:Transitive_Verb
puncture;punctures;is punctureing:Transitive_Verb
punish;punishs;is punishing:Transitive_Verb
purchase;purchases;is purchaseing:Transitive_Verb
purge;purges;is purgeing:Transitive_Verb
purify;purifys;is purifying:Transitive_Verb
purport;purports;is purporting:Transitive_Verb
purpose;purposes;is purposeing:Transitive_Verb
purr;purrs;is purring:Transitive_Verb
purse;purses;is purseing:Transitive_Verb
purvey;purveys;is purveying:Transitive_Verb
pure;pures;is pureing:Transitive_Verb
push about;push abouts;is push abouting:Transitive_Verb
push through;push throughs;is push throughing:Transitive_Verb
push-start;push-starts;is push-starting:Transitive_Verb
push;pushs;is pushing:Transitive_Verb
put about;put abouts;is put abouting:Transitive_Verb
put across;put acrosss;is put acrossing:Transitive_Verb
put aside;put asides;is put asideing:Transitive_Verb
put away;put aways;is put awaying:Transitive_Verb
put back;put backs;is put backing:Transitive_Verb
put down;put downs;is put downing:Transitive_Verb
put forth;put forths;is put forthing:Transitive_Verb
put forward;put forwards;is put forwarding:Transitive_Verb
put in;put ins;is put ining:Transitive_Verb
put off;put offs;is put offing:Transitive_Verb
put on;put ons;is put oning:Transitive_Verb
put out;put outs;is put outing:Transitive_Verb
put over;put overs;is put overing:Transitive_Verb
put through;put throughs;is put throughing:Transitive_Verb
puzzle;puzzles;is puzzleing:Transitive_Verb
pyalla;pyallas;is pyallaing:Transitive_Verb
pyramid;pyramids;is pyramiding:Transitive_Verb
pre;pres;is preing:Transitive_Verb
quadrate;quadrates;is quadrateing:Transitive_Verb
qualify;qualifys;is qualifying:Transitive_Verb
quantize;quantizes;is quantizeing:Transitive_Verb
quarantine;quarantines;is quarantineing:Transitive_Verb
quarter;quarters;is quartering:Transitive_Verb
quash;quashs;is quashing:Transitive_Verb
quasi-adopt;quasi-adopts;is quasi-adopting:Transitive_Verb
queen;queens;is queening:Transitive_Verb
queer;queers;is queering:Transitive_Verb
quell;quells;is quellling:Transitive_Verb
quench;quenchs;is quenching:Transitive_Verb
query;querys;is querying:Transitive_Verb
quick-ffrozen;quick-ffrozens;is quick-ffrozening:Transitive_Verb
quick-ffroze;quick-ffrozes;is quick-ffrozeing:Transitive_Verb
quieten;quietens;is quietening:Transitive_Verb
quill;quills;is quillling:Transitive_Verb
quilt;quilts;is quilting:Transitive_Verb
quirt;quirts;is quirting:Transitive_Verb
quitclaim;quitclaims;is quitclaimming:Transitive_Verb
quit;quits;is quiting:Transitive_Verb
quiz;quizs;is quizing:Transitive_Verb
quote;quotes;is quoteing:Transitive_Verb
quo;quos;is quoing:Transitive_Verb
rabble;rabbles;is rabbleing:Transitive_Verb
race off;race offs;is race offing:Transitive_Verb
rack up;rack ups;is rack uping:Transitive_Verb
racket;rackets;is racketing:Transitive_Verb
rack;racks;is racking:Transitive_Verb
raddle;raddles;is raddleing:Transitive_Verb
radiate;radiates;is radiateing:Transitive_Verb
radioactivate;radioactivates;is radioactivateing:Transitive_Verb
radiobroadcast;radiobroadcasts;is radiobroadcasting:Transitive_Verb
raffle;raffles;is raffleing:Transitive_Verb
railroad;railroads;is railroading:Transitive_Verb
rail;rails;is railling:Transitive_Verb
rainproof;rainproofs;is rainproofing:Transitive_Verb
rain;rains;is raining:Transitive_Verb
rake in;rake ins;is rake ining:Transitive_Verb
rake up;rake ups;is rake uping:Transitive_Verb
rake-off;rake-offs;is rake-offing:Transitive_Verb
raker;rakers;is rakering:Transitive_Verb
rake;rakes;is rakeing:Transitive_Verb
rampart;ramparts;is ramparting:Transitive_Verb
rampike;rampikes;is rampikeing:Transitive_Verb
randomize;randomizes;is randomizeing:Transitive_Verb
range;ranges;is rangeing:Transitive_Verb
rank;ranks;is ranking:Transitive_Verb
ransack;ransacks;is ransacking:Transitive_Verb
ransom;ransoms;is ransomming:Transitive_Verb
rapture;raptures;is raptureing:Transitive_Verb
rap;raps;is raping:Transitive_Verb
rasp;rasps;is rasping:Transitive_Verb
rastle;rastles;is rastleing:Transitive_Verb
rate;rates;is rateing:Transitive_Verb
rationalise;rationalises;is rationaliseing:Transitive_Verb
rationalize;rationalizes;is rationalizeing:Transitive_Verb
ration;rations;is rationing:Transitive_Verb
ratten;rattens;is rattening:Transitive_Verb
rattle;rattles;is rattleing:Transitive_Verb
ravel;ravels;is ravelling:Transitive_Verb
ravish;ravishs;is ravishing:Transitive_Verb
ray;rays;is raying:Transitive_Verb
raze;razes;is razeing:Transitive_Verb
razor;razors;is razoring:Transitive_Verb
razz;razzs;is razzing:Transitive_Verb
re-act;re-acts;is re-acting:Transitive_Verb
re-cede;re-cedes;is re-cedeing:Transitive_Verb
re-cover;re-covers;is re-covering:Transitive_Verb
re-dress;re-dresss;is re-dressing:Transitive_Verb
re-echo;re-echos;is re-echoing:Transitive_Verb
re-examine;re-examines;is re-examineing:Transitive_Verb
re-fund;re-funds;is re-funding:Transitive_Verb
re-laid;re-laids;is re-laiding:Transitive_Verb
re-lay;re-lays;is re-laying:Transitive_Verb
re-lease;re-leases;is re-leaseing:Transitive_Verb
re-pose;re-poses;is re-poseing:Transitive_Verb
re-present;re-presents;is re-presenting:Transitive_Verb
re-press;re-presss;is re-pressing:Transitive_Verb
re-proof;re-proofs;is re-proofing:Transitive_Verb
re-proven;re-provens;is re-provening:Transitive_Verb
re-prove;re-proves;is re-proveing:Transitive_Verb
re-record;re-records;is re-recording:Transitive_Verb
re-search;re-searchs;is re-searching:Transitive_Verb
re-serve;re-serves;is re-serveing:Transitive_Verb
re-sort;re-sorts;is re-sorting:Transitive_Verb
re-strain;re-strains;is re-straining:Transitive_Verb
re-trace;re-traces;is re-traceing:Transitive_Verb
re-treat;re-treats;is re-treating:Transitive_Verb
re-trodden;re-troddens;is re-troddening:Transitive_Verb
re-ttrod;re-ttrods;is re-ttroding:Transitive_Verb
re-up;re-ups;is re-uping:Transitive_Verb
reabandon;reabandons;is reabandoning:Transitive_Verb
reabridge;reabridges;is reabridgeing:Transitive_Verb
reabsorb;reabsorbs;is reabsorbing:Transitive_Verb
reaccede;reaccedes;is reaccedeing:Transitive_Verb
reaccelerate;reaccelerates;is reaccelerateing:Transitive_Verb
reaccentuate;reaccentuates;is reaccentuateing:Transitive_Verb
reaccent;reaccents;is reaccenting:Transitive_Verb
reaccept;reaccepts;is reaccepting:Transitive_Verb
reacclaim;reacclaims;is reacclaimming:Transitive_Verb
reaccompany;reaccompanys;is reaccompanying:Transitive_Verb
reaccredit;reaccredits;is reaccrediting:Transitive_Verb
reaccuse;reaccuses;is reaccuseing:Transitive_Verb
reaccustom;reaccustoms;is reaccustomming:Transitive_Verb
reach;reachs;is reaching:Transitive_Verb
reacknowledge;reacknowledges;is reacknowledgeing:Transitive_Verb
reacquaint;reacquaints;is reacquainting:Transitive_Verb
reacquire;reacquires;is reacquireing:Transitive_Verb
reactivate;reactivates;is reactivateing:Transitive_Verb
read out;read outs;is read outing:Transitive_Verb
readapt;readapts;is readapting:Transitive_Verb
readdress;readdresss;is readdressing:Transitive_Verb
readd;readds;is readding:Transitive_Verb
readopt;readopts;is readopting:Transitive_Verb
readorn;readorns;is readorning:Transitive_Verb
readvocate;readvocates;is readvocateing:Transitive_Verb
read;reads;is reading:Transitive_Verb
reaffect;reaffects;is reaffecting:Transitive_Verb
reaffirm;reaffirms;is reaffirmming:Transitive_Verb
reafforest;reafforests;is reafforesting:Transitive_Verb
reaffront;reaffronts;is reaffronting:Transitive_Verb
realienate;realienates;is realienateing:Transitive_Verb
realize;realizes;is realizeing:Transitive_Verb
reallege;realleges;is reallegeing:Transitive_Verb
reallocate;reallocates;is reallocateing:Transitive_Verb
reallot;reallots;is realloting:Transitive_Verb
reamass;reamasss;is reamassing:Transitive_Verb
ream;reams;is reamming:Transitive_Verb
reanalyze;reanalyzes;is reanalyzeing:Transitive_Verb
reannex;reannexs;is reannexing:Transitive_Verb
reannounce;reannounces;is reannounceing:Transitive_Verb
reanoint;reanoints;is reanointing:Transitive_Verb
reantagonize;reantagonizes;is reantagonizeing:Transitive_Verb
reapologize;reapologizes;is reapologizeing:Transitive_Verb
reappoint;reappoints;is reappointing:Transitive_Verb
reapportion;reapportions;is reapportioning:Transitive_Verb
reappraise;reappraises;is reappraiseing:Transitive_Verb
reappropriate;reappropriates;is reappropriateing:Transitive_Verb
reap;reaps;is reaping:Transitive_Verb
rearm;rearms;is rearmming:Transitive_Verb
rearrange;rearranges;is rearrangeing:Transitive_Verb
rearrest;rearrests;is rearresting:Transitive_Verb
rear;rears;is rearing:Transitive_Verb
reasonless;reasonlesss;is reasonlessing:Transitive_Verb
